text,named_ents
"during the time since he was 4 years old, have you and your partner been employed? please answer for each age: partner","[('4 years old', 29, 40, 'DATE')]"
some children just have snacks all day while others wait for meals. how would you describe your child?,[]
"apart from his finger, thumb or a dummy does he have a special object that he uses for comfort?",[]
about how often does your child do the following during term time: play computer games,[]
which animals in either your home or elsewhere does he touch at least once a week? (*please tick and describe ... ),[]
how does he feel about school? he enjoys it,[]
how often does your partner do these activities with your child?,[]
since his 4th birthday has anyone thought there might be a problem with other aspects of his development?,"[('4th', 10, 13, 'ORDINAL')]"
how much milk does your child usually drink on a school day? has milk at home,"[('a school day', 47, 59, 'DATE')]"
when he gets home from school how does he behave? very active,[]
does he ever have toothpaste?,[]
what size shoes does he take?,[]
when would you say is his main meal of the day? on sundays,"[('sundays', 51, 58, 'DATE')]"
space to describe any serious injuries not described already.,[]
about how often does your child do the following during term time: have physiotherapy,[]
when he gets home from school how does he behave? hungry,[]
apart from food and drink are there any other things to which he is allergic?,[]
how does he feel about school? he looks forward to going,[]
how often in a normal week does your child: dirty his pants during the day,[]
all children get dirty. how often when he's at home: are his hands cleaned before a meal?,[]
does your child have definite likes and dislikes as far as food is concerned?,[]
when he first arrives home does he have: a meal,"[('first', 8, 13, 'ORDINAL')]"
is your child at present a vegetarian?,[]
how often nowadays does he wear the following footwear: other (please tick and describe),[]
when he gets home from school how does he behave? affectionate,[]
"when your study child is offered fresh fruit e.g. an apple, pear or banana etc. which of the following statements best describes his attitude to eating it?",[]
"since your study child was 4 years old has he been investigated because it was thought he might have something wrong with his hips, his legs or his feet?","[('4 years old', 27, 38, 'DATE')]"
has he had a bad fall since he was 4 1/2 years old?,"[('4 1/2 years old', 35, 50, 'DATE')]"
when he gets home from school how does he behave? other (please tick & describe),[]
when he first arrives home does he have: a snack,"[('first', 8, 13, 'ORDINAL')]"
how often do you do these activities with your child? other (please tick and describe),[]
about how often does your child do the following during term time: go to a park or playground,[]
since his 4th birthday has anyone thought there might be a problem with clumsiness or his movement or co-ordination?,"[('4th', 10, 13, 'ORDINAL')]"
about how often does your child do the following during term time: go to special classes because of learning difficulty please tick and describe,[]
if he goes straight home are you always there?,[]
had he visited the school before his first day?,[]
how many times a week on school days does your study child have the following foods or drinks before school? has other food (please tick & describe),"[('a week', 15, 21, 'DATE')]"
when he gets home from school how does he behave? angry,[]
when he first arrives home does he have: a drink,"[('first', 8, 13, 'ORDINAL')]"
has he had any of the following happen since he was 4 1/2? (tick all that apply) bitten by animal or human (please describe),"[('4 1/2', 52, 57, 'CARDINAL')]"
"has he swallowed anything he shouldn't have (such as pills, buttons, disinfectant) since he was 4 1/2 years old?","[('4 1/2 years old', 96, 111, 'DATE')]"
how often in a normal week does your child: wet the bed at night,[]
"about how often does your child do the following during term time: play a musical instrument (e.g. piano, recorder )",[]
how often in a normal week does your child: wet himself during the day,[]
is your child at present on any other kind of special diet?,[]
how does he feel about school? he is stimulated by it,[]
how many real meals a day does your child have now ?,[]
children often have accidents or illnesses that need treatment. please indicate which of the following have been given to your child since he was 4 1/2 years old.,"[('4 1/2 years old', 146, 161, 'DATE')]"
"are there any pills, ointments or medicines that he has taken every day or nearly every day for the last 3 months? (include vitamins, iron, skin cream, laxatives as well as antibiotics, homeopathic and herbal remedies etc.)","[('the last 3 months', 96, 113, 'DATE')]"
has he had any of the following happen since he was 4 1/2? (tick all that apply) other broken bone (please describe),"[('4 1/2', 52, 57, 'CARDINAL')]"
how often does he normally: have his ear holes cleaned,[]
when he gets home from school how does he behave? calm,[]
does he use a toothbrush?,[]
"about how often does your child do the following during term time: go to special classes or clubs for some activity (e.g. dancing, judo, sports ) please tick and describe",[]
when he gets home from school how does he behave? tired,[]
"is your child at present a vegan (i.e. does not eat meat, poultry, fish, eggs, butter, milk or cheese)?",[]
about how often does your child do the following during term time: go to special groups (such as beavers or rainbows) please tick and describe group,[]
since his 4th birthday has anyone thought there might be a problem with his hearing?,"[('4th', 10, 13, 'ORDINAL')]"
how often in a normal week does your child: dirty himself at night,[]
about how often does your child do the following during term time: help in the house,[]
when he gets home from school how does he behave? withdrawn,[]
how often during a day is he in a room or enclosed place where people are smoking: weekdays,"[('weekdays', 83, 91, 'DATE')]"
are there any foods or drinks that your child is allergic to?,[]
in the past year have you had difficulties getting him to eat what you wanted him to?,"[('the past year', 3, 16, 'DATE')]"
about how often does your child do the following during term time: go to a library,[]
how often does he normally: have a bath or shower:,[]
"does he eat coal, soil, dirt or other non-food substances?",[]
does he bring home things that he has done during the day (e.g. painting)?,"[('the day', 50, 57, 'DATE')]"
how often do you ask your study child about the food he has eaten at school?,[]
how long does it take to get there in the morning? ... minutes,[]
how much milk does your child usually drink on a school day? has milk at school,"[('a school day', 47, 59, 'DATE')]"
when would you say is his main meal of the day? on saturdays,"[('saturdays', 51, 60, 'DATE')]"
has anyone ever thought there might be a problem with his eyesight?,[]
have there been any other problems for which your child saw (or is going to see) a specialist since his 4th birthday?,"[('4th', 104, 107, 'ORDINAL')]"
what has he had (tick all that apply) other treatment? please describe,[]
what has he had (tick all that apply) a filling?,[]
"if more than 3 problems, continue below or on a separate sheet.","[('more than 3', 3, 14, 'CARDINAL')]"
are there still worries about his growth?,[]
for how many different problems?,[]
has he been seen by a specialist about his growth,[]
were any problems found?,[]
what has he had (tick all that apply) a tooth taken out?,[]
please describe:,[]
are there still any worries about his talking?,[]
has he been seen by a speech therapist?,[]
how many? ... teeth,[]
please describe below.,[]
please describe how each accident happened: fall 2,"[('2', 49, 50, 'CARDINAL')]"
please describe how each accident happened: fall 3,[]
where does he go? to a friend's home,[]
how many times?,[]
space for any comments about allergies.,[]
where does he go? other (please tick and describe),[]
please describe what he eats:,[]
please describe how each accident happened: fall 1,[]
how old was he when this first happened? ... years old,"[('first', 25, 30, 'ORDINAL'), ('years', 45, 50, 'DATE')]"
how does he react to these? (tick all that apply) wheezing,[]
please describe the problems:,[]
where does he go? to a childminder,[]
what is he allergic to? (tick all that apply) house dust,[]
what is he allergic to? (tick all that apply) other (please tick and describe),[]
please describe which foods or drinks,[]
what happens when he does have the reaction? (tick all that apply) swelling,[]
where does he go? to a relative's home,[]
"what treatment has your child been given for the problem? (if none, write none)",[]
what is he allergic to? (tick all that apply) bee sting,[]
how does he react to these? (tick all that apply) breathlessness,[]
"what advice have you been given? (if none, write none)",[]
how does he react to these? (tick all that apply) other (please tick and describe),[]
what happens when he does have the reaction? (tick all that apply) vomiting,[]
what happens when he does have the reaction? (tick all that apply) diarrhoea,[]
what happens when he does have the reaction? (tick all that apply) headache,[]
was the reaction caused by eating or touching the food or drink?,[]
what happens when he does have the reaction? (tick all that apply) hives (white raised bumps on skin),[]
how does he react to these? (tick all that apply) rash,[]
what happens when he does have the reaction? (tick all that apply) wheezing or whistling in the chest,[]
how old was he the last time a reaction happened? ... years old,"[('years', 54, 59, 'DATE')]"
how often does he brush his teeth?,[]
what is he allergic to? (tick all that apply) cat,[]
what is he allergic to? (tick all that apply) pollen,[]
how long after eating or drinking or touching does this usually happen?,[]
how often are they put so that everyone can see them?,[]
who brushes his teeth?,[]
what have you done about these reactions? (tick all that apply) other (please describe),[]
please describe how each accident happened: burn 2,"[('2', 49, 50, 'CARDINAL')]"
has he been seen by a specialist about this?,[]
what happens when he does have the reaction? (tick all that apply) stops breathing,[]
about how much does he have in total in drinks and on cereal at home?,[]
what happens when he does have the reaction? (tick all that apply) difficulty breathing,[]
how does he react to these? (tick all that apply) sneezing,[]
what is he allergic to? (tick all that apply) dog,[]
how many times has a reaction happened? ... times,[]
what happens when he does have the reaction? (tick all that apply) bright red rash,[]
what happens when he does have the reaction? (tick all that apply) other reaction (please describe ),[]
are there still worries about this?,[]
has he been given any of the following? anything else,[]
please describe how each accident happened: accident 1,"[('1', 53, 54, 'CARDINAL')]"
please describe how each accident happened: accident 2,"[('2', 53, 54, 'CARDINAL')]"
has he been given any of the following? an operation on his eyes,[]
please describe how each accident happened: burn 3,"[('3', 49, 50, 'CARDINAL')]"
how many times?,[]
how many times?,[]
please describe how each accident happened: burn 1,"[('1', 49, 50, 'CARDINAL')]"
please describe how each accident happened: accident 3,"[('3', 53, 54, 'CARDINAL')]"
what is this?,[]
on a typical week how often does he eat his main meal in these places? other (please tick and describe),"[('a typical week', 3, 17, 'DATE')]"
please describe how each accident happened: accident 1,"[('1', 53, 54, 'CARDINAL')]"
please describe how each accident happened: accident 2,"[('2', 53, 54, 'CARDINAL')]"
has your child been seen at the hearing assessment centre or by a specialist since his 4th birthday?,"[('4th', 87, 90, 'ORDINAL')]"
how many other accidents?,[]
how much toothpaste does he have on his brush nowadays?,[]
on a typical week how often does he eat his main meal in these places? at home,"[('a typical week', 3, 17, 'DATE')]"
has he been seen by a specialist about this?,[]
does he usually swallow it or spit it out?,[]
has he been given any of the following? patches,[]
on a typical week how often does he eat his main meal in these places? at school,"[('a typical week', 3, 17, 'DATE')]"
please describe how each accident happened: accident 3,"[('3', 53, 54, 'CARDINAL')]"
how many times a day does this happen? ... times,[]
has he been given any of the following? glasses,[]
what type of toothpaste is usually used?,[]
"children are often difficult about eating certain foods. when your study child is difficult about a certain food you would like him to eat, how far do the following sentences describe how you deal with this? other (please tick & describe)",[]
has he been given any of the following? drops for his eyes,[]
are there still worries about this?,[]
how often does your partner do these activities with your child? other (please tick & describe),[]
please describe,[]
what treatment did he have?,[]
what was decided?,[]
please describe,[]
how many teeth?,[]
how old was he? ... years,[]
what was decided?,[]
describe where,[]
did he have a general anaesthetic for this?,[]
please describe:,[]
over what part of body?,[]
how old was he?,[]
write down other treatment given,[]
please describe,[]
has he been given any of the following? how many bottles in total?,[]
what was decided?,[]
at what age?,[]
how many pairs in total?,[]
how many in total?,[]
over what part of body,[]
how many months in total has he worn them so far?,[]
what was decided?,[]
please describe,[]
what was decided?,[]
please give details of other activity if selected above. (optional),[]
when did you first get the internet at home?,"[('first', 13, 18, 'ORDINAL')]"
about how long have you been using the internet?,[]
how many hours do you spend online per week?,[]
do you have internet access at home?,[]
how many hours a week do you spend on your main social networking site?,[]
how long have you used your main social networking site?,[]
which social networking sites do you use?,[]
do you browse and/or register on commercial web sites?,[]
"your attitudes towards privacy in general, how concerned are you about your privacy while you are using the internet?",[]
how many friends do you have linked on your main social networking profile?,[]
who do you think is currently viewing your main social networking profile? (tick all that apply),[]
do you have a social networking profile?,[]
do you use email?,[]
what is your main social networking site?,[]
who do you think will be viewing your main social networking profile in the future? (tick all that apply),[]
"on average, how often do you visit your main social networking profile(s)?",[]
do you use instant messaging and/or blogs and/or message boards,[]
do you use social networking?,[]
do you use gas for cooking?,[]
"do you use the cooker for any other purpose than cooking ( eg. drying clothes, heating the room)?",[]
do you: argue with your neighbours,[]
how many people live in your household? (including yourself) children (0 - 15 years),"[('0 - 15 years', 71, 83, 'DATE')]"
"does your roof leak at all? (if you have another flat above yours, please tick 'does not apply').",[]
at night the window in my bedroom is:,[]
how often do you have any windows open in your home: in summer: day,"[('summer', 56, 62, 'DATE')]"
does your home have the following? kitchen where there is space to sit and eat,[]
"since the beginning of your pregnancy, at any time, how often have you used the following electrical equipment: other electric equipment (please describe)",[]
"please indicate how many of the children (aged 18 or under) living with you have: neither you nor your partner as natural parents (please describe whether you have adopted, fostered etc.)","[('18', 47, 49, 'DATE')]"
how often do you have any windows open in your home: in winter: night,"[('winter', 56, 62, 'DATE'), ('night', 64, 69, 'TIME')]"
in your home do you ever use: paraffin heaters,[]
"do any of the following animals or insects inhabit or invade your home or cause dirty conditions in your balcony, garden or yard? other (please describe)",[]
do you currently live in:,[]
"if your home is centrally heated in winter, please describe: type:","[('winter', 36, 42, 'DATE')]"
"what is the lowest level of your living accommodation: 2nd floor or above, give floor","[('2nd', 55, 58, 'ORDINAL')]"
is your neighbourhood: noisy,[]
is your neighbourhood: clean,[]
space for any comments you might like to make:,[]
do you: look after your neighbours children,[]
is your neighbourhood: attractive,[]
in your home do you ever use: central heating or storage heaters,[]
how often do you have any windows open in your home: in winter: day,"[('winter', 56, 62, 'DATE')]"
please give your date of birth:,[]
during this pregnancy have you heated your bed using any of the following: other (please describe),[]
do you tend to collect static electricity and have shocks when you touch metal?,[]
is your neighbourhood: lively,[]
do you use any of the following electrical equipment in these rooms: other electric heater (please describe),[]
do you: visit the home of your neighbours,[]
what is the packet colour and tar rating of this brand?,[]
do you own an electric blanket?,[]
does your home have the following? kitchen for cooking only,[]
please put the date of completing this questionnaire:,[]
do you currently have a partner? ,[]
would you say that you are the sort of person who feels the cold more than most?,[]
at present how much of the following do you usually drink in a day: other drinks (please describe),[]
"do any of the people living in your household, including yourself and your children have a long lasting disorder, illness or disabling condition? (e.g. asthma, epilepsy, arthritis, depression)",[]
what is your present marital status?,[]
are any of your windows double glazed?,[]
"taking everything into account, which of the following best describes your feelings about your home?",[]
how many people live in your household? (including yourself) young adults (16 - 18 years),"[('16 - 18 years', 75, 88, 'DATE')]"
do the other people in your neighbourhood: visit your home,[]
in your home do you ever use: wood stoves or wood fires,[]
do the other people in your neighbourhood: keep to themselves,[]
"in the coldest time of year, describe the temperature in your: bedrooms",[]
in your home do you ever use: gas fires (calor gas),[]
how many cigarettes a day do you smoke at the moment?,[]
is there a working telephone in your home?,[]
"since you became pregnant, how often have you used any of the following, whether at work or as a hobby: other chemicals (please specify)",[]
is your neighbourhood: polluted/dirty,[]
how often do you have any windows open in your home: in summer: night,"[('summer', 56, 62, 'DATE'), ('night', 64, 69, 'TIME')]"
do you have fluorescent lights (striplights) anywhere? in the bathroom,[]
"during this pregnancy, at work were there: desk lamps",[]
"do you or your partner have the use of a car (including vans, minibuses, etc.)?",[]
in your home do you ever use: other type of heating (please describe),[]
"is there ever any damp, condensation or mould in your home?",[]
does your home have the following? indoor flushing toilet,[]
how many people live in your household? (including yourself) adults (over 18 years),"[('18 years', 74, 82, 'DATE')]"
"during this pregnancy, at work were there: electric heaters",[]
in the past year have any of the following rooms been decorated or had any brand new furniture? which room(s)?,"[('the past year', 3, 16, 'DATE')]"
do you live in your own home or do you live with your parents or others?,[]
please indicate who the adults over 18 in your household are: other (please describe),[]
do you have fluorescent lights ( striplights) anywhere? in other rooms,[]
when did you move to your present address?,[]
do the other people in your neighbourhood: argue with you,[]
what do you think of your neighbourhood as a place to live?,[]
in your home do you ever use: coal fires,[]
do the other people in your neighbourhood: look after your children,[]
do you have any pets?,[]
is your neighbourhood: friendly,[]
what brand do you usually smoke?,[]
"in wet weather, does water get in from anywhere else, such as through badly fitting windows or doors?",[]
how long have you lived in or near avon?,[]
"during this pregnancy, how often have you used the following: other (please describe)",[]
where is the boiler?,[]
is your home:,[]
"during this pregnancy, at work were there: fluorescent lights",[]
how is heating distributed?,[]
"in the coldest time of year, describe the temperature in your: living rooms",[]
do you: keep to yourself,[]
in your home do you ever use: gas fires (mains gas),[]
is your hot water tank usually heated electrically?,[]
how many times have you moved home in the last 5 years?,"[('the last 5 years', 38, 54, 'DATE')]"
do you have fluorescent lights (striplights) anywhere? in the kitchen,[]
how old is your cooker?,[]
please describe: the consequences for the household:,[]
please describe: person involved:,[]
"how many of the following pets do you have? rodents (mice, hamster, gerbil, etc.)",[]
how much of a problem is damp or condensation?,[]
how many of the following pets do you have? other pets (please describe),[]
how much of a problem is mould?,[]
"how many of the following pets do you have? birds (budgerigar, parrot, etc)",[]
please describe: nature of illness/condition:,[]
how many of the following pets do you have? cats,[]
please describe:,[]
where is the nearest working telephone that you can use in an emergency?,[]
how many of the following pets do you have? rabbits,[]
how many of the following pets do you have? dogs,[]
how often do you keep it switched on while you are in bed? in summer:,"[('summer', 62, 68, 'DATE')]"
how often do you keep it switched on while you are in bed? in winter:,"[('winter', 62, 68, 'DATE')]"
what was the date of the most recent marriage?,[]
how old is it?,[]
how would you assess your partner's physical health,[]
how many other marriages/live-in partners have you had?,[]
how often do you yourself have the use of a car?,[]
does your partner live with you?,[]
have you kept it on while you were in bed this pregnancy?,[]
is your partner the father of your unborn child?,[]
how long have you lived together? ... years ... months,[]
course attended 1963/64 according to our information,"[('1963/64', 16, 23, 'CARDINAL')]"
how many class hours per week were devoted to: theory?,[]
for what final exam was he studying? title of exam:,[]
"please assess the adequacy of the following facilities, as they applied to this student's course in the session 1963/64. library",[]
course attended 1962/63,"[('1962/63', 16, 23, 'CARDINAL')]"
"please assess the adequacy of the following facilities, as they applied to this student's course in the session 1963/64. building in which this class was taught comment",[]
how many students altogether were taking this stage of the course?,[]
did this student complete the session 1963/64?,[]
"please assess the adequacy of the following facilities, as they applied to this student's course in the session 1963/64. building in which this class was taught",[]
"please give your opinion of the encouragement given and the interest taken by the student's employer, in his progress at college. we do not know the name of his employer, so the confidentiality of this rating is guaranteed. circle the number opposite the most applicable description, and write any extra comments on this point in the space provided. comment:",[]
has this student now enrolled for the 1964/65 session?,"[('1964/65', 38, 45, 'CARDINAL')]"
"please assess the adequacy of the following facilities, as they applied to this student's course in the session 1963/64. students' union or clubs comment",[]
"please assess the adequacy of the following facilities, as they applied to this student's course in the session 1963/64. students' common rooms",[]
please give the official title and year of the course of study taken by this student in 1963/64.,"[('year', 35, 39, 'DATE')]"
would you please now say how frequently there is contact between the college and this student's employer to discuss the course and progress of this and other students. comment:,[]
"please give this student's attendance record, in 1963/64. ...%",[]
ref. no.,[]
how many students in this student's class: took the end-of-year examination?,[]
please answer the following queries which arise out of last year's survey:,"[(""last year's"", 55, 66, 'DATE')]"
name of college,[]
"please assess the adequacy of the following facilities, as they applied to this student's course in the session 1963/64. canteen or refectory",[]
"please assess the adequacy of the following facilities, as they applied to this student's course in the session 1963/64. sports facilities",[]
"please assess the adequacy of the following facilities, as they applied to this student's course in the session 1963/64. students' common rooms comment",[]
"please give your opinion of the encouragement given and the interest taken by the student's employer, in his progress at college. we do not know the name of his employer, so the confidentiality of this rating is guaranteed. circle the number opposite the most applicable description, and write any extra comments on this point in the space provided. ",[]
how many students in this student's class: were referred?,[]
new college,[]
would you please now say how frequently there is contact between the college and this student's employer to discuss the course and progress of this and other students. ,[]
"please assess the adequacy of the following facilities, as they applied to this student's course in the session 1963/64. supply of teaching staff comment",[]
for what final exam was he studying? number of exam:,[]
for what final exam was he studying? examining body:,[]
how many students in this student's class: passed?,[]
has this student now enrolled for the 1964/65 session? for which course?,"[('1964/65', 38, 45, 'CARDINAL')]"
how many class hours per week were devoted to: 'general' or 'liberal' studies?,[]
"please assess the adequacy of the following facilities, as they applied to this student's course in the session 1963/64. sports facilities comment",[]
"please assess the adequacy of the following facilities, as they applied to this student's course in the session 1963/64. students' union or clubs",[]
date,[]
how many class hours per week were devoted to: practical work?,[]
"please assess the adequacy of the following facilities, as they applied to this student's course in the session 1963/64. library comment",[]
"further comment or explanation.  (e.g. changes of course by this student, with dates, details and reasons, and any other remarks you feel appropriate.)",[]
name and address,[]
how many students in this student's class: were on the register?,[]
completed by:,[]
what type of course was this? (ring more than one if necessary.),"[('more than one', 36, 49, 'CARDINAL')]"
"please assess the adequacy of the following facilities, as they applied to this student's course in the session 1963/64. facilities for practical teaching comment",[]
"please assess the adequacy of the following facilities, as they applied to this student's course in the session 1963/64. facilities for practical teaching",[]
status,[]
"please assess the adequacy of the following facilities, as they applied to this student's course in the session 1963/64. supply of teaching staff",[]
"please assess the adequacy of the following facilities, as they applied to this student's course in the session 1963/64. canteen or refectory comment",[]
into how many classes were they divided?,[]
please give the number of college weeks in the year.,"[('weeks', 34, 39, 'DATE'), ('the year', 43, 51, 'DATE')]"
when did he last attend?,[]
why did he give up the course?,[]
how many a week?,[]
approximately how many books does your child have  (including books shared with brothers and sisters)?,[]
"if your child is... ... 4 - 6 months old, tick this box",[]
have you or your child’s other parent ever helped your child  to learn any of the following…,[]
"if your child is... ... 7 - 9 months old, tick this box",[]
"if your child is... ... 10 - 11 months old, tick this box","[('10 - 11 months old', 24, 42, 'DATE')]"
"if your child is... ... 0 - 3 months old, tick this box",[]
approximately how often do you get the chance to read  stories with or to your child?,[]
your child accepts his or her bath any time of day without resisting,[]
your child accepts right away a change in feeding time,[]
"your child is pleasant (coos, smiles) during face washing",[]
your child is still wary or frightened of strangers after 15 minutes,"[('15 minutes', 58, 68, 'TIME')]"
has your child ever turned his or her head around to look at something?,[]
has your child ever been pulled from a sitting to a standing position and supported his or her own weight with legs stretched out?,[]
"your child is content (smiles, coos) during interruptions of milk or solid feeding",[]
has your child ever shown by his or her behaviour that he or she knows the name of common objects when somebody else names them out loud?,[]
your child is shy (turns away or clings to you) on meeting another child for the first time,"[('first', 81, 86, 'ORDINAL')]"
for the first few minutes in a new place or situation (new shop or home) your child is fretful,"[('the first few minutes', 4, 25, 'TIME')]"
your child’s day time naps are varied in length from day to day (more than 1 hour in difference),"[('from day to day', 48, 63, 'DATE'), ('more than 1 hour', 65, 81, 'TIME')]"
"when lying on his or her stomach on a flat surface, has your child ever lifted his or her head off the surface for a moment?",[]
"has your child ever picked up any small objects, such as raisins or biscuit crumbs, using only his or her thumb and first finger?","[('first', 116, 121, 'ORDINAL')]"
"your child cries remains pleasant or calm with minor injuries (bumps, pinches)",[]
for the first few minutes in a new place or situation (new shop or home) your child is fretful,"[('the first few minutes', 4, 25, 'TIME')]"
"has your child ever shown that he or she wanted something by pointing, pulling, or making pleasant sounds, rather than by crying or whining?",[]
"has your child ever shown that he or she wanted something by pointing, pulling, or making pleasant sounds, rather than by crying or whining?",[]
your child accepts his or her bath any time of the day without resisting it,[]
your child wants and takes milk feedings at about the same times (within 1 hour) from day to day,"[('1 hour', 73, 79, 'TIME')]"
has your child ever sat alone with no help except for leaning forward on his or her hands or with just a little help from someone else?,[]
your child adjusts to change in place of sleeping within 2 or 3 days,"[('2 or 3 days', 57, 68, 'DATE')]"
has your child ever looked around for a toy which was lost or not nearby?,[]
has your child ever waved goodbye without help from another person?,[]
has your child ever walked at least two steps without holding on to anything or another person?,"[('at least two', 27, 39, 'CARDINAL')]"
has your child ever walked at least two steps with one hand held or holding on to something?,"[('at least two', 27, 39, 'CARDINAL')]"
your child wants and takes solid food at about the same time (within 1 hour) from day to day,"[('1 hour', 69, 75, 'TIME')]"
has your child ever crawled up at least two stairs or steps?,"[('at least two', 31, 43, 'CARDINAL')]"
has your child ever pulled him or herself to a standing position without help from another person?,[]
"while lying on his or her back and being pulled up to a sitting position, has your child ever held his or her head stiffly so that it did not hang back as he or she was pulled up?",[]
your child gets sleepy about the same time each evening (within 1/2 hour),"[('1/2 hour', 64, 72, 'TIME')]"
"has your child ever picked up any small objects, such as raisins or biscuit crumbs, using only his or her thumb and first finger?","[('first', 116, 121, 'ORDINAL')]"
has your child ever crawled when left lying on his or her stomach?,[]
has your child ever said two recognisable words besides ‘mama’ or ‘dada’?,"[('two', 25, 28, 'CARDINAL')]"
